shipment_id,lane_id,carrier_id,shipment_mode,pickup_date,promised_delivery_date,delivery_date,weight_lbs,freight_cost,shipment_status,delay_reason
40024,9,5,Parcel,2024-10-27,2024-10-30,2024-10-31,9.2,102.27,Delivered,Mechanical Issue
40025,3,6,LTL,2026-06-02,2026-06-06,2026-06-06,4112.5,1674.51,Delivered,
40026,3,4,LTL,2025-03-03,2025-03-07,2025-03-05,1419.9,1862.53,Delivered,
40027,1,7,FTL,2024-09-17,2024-09-18,2024-09-17,26304.4,3328.86,Delivered,
40028,9,1,LTL,2024-09-21,2024-09-24,2024-09-23,3004.0,1055.36,Delivered,
40029,13,2,Air,2026-03-14,2026-03-18,2026-03-18,1905.2,1502.19,Delivered,
40030,1,6,LTL,2025-09-27,2025-09-28,2025-09-27,2015.6,572.09,Delivered,
40031,8,7,LTL,2026-01-31,2026-02-07,2026-02-07,2378.6,1357.63,Delivered,
40032,5,1,FTL,2025-12-11,2025-12-12,2025-12-11,11395.7,2428.84,Delivered,
40033,11,3,Air,2025-07-30,2025-08-05,2025-08-04,973.2,1784.73,Delivered,
40034,3,1,Parcel,2026-06-15,2026-06-19,2026-06-19,14.9,28.18,Delivered,
40035,1,7,LTL,2025-04-11,2025-04-12,2025-04-12,3384.3,1794.91,Delivered,
40036,4,4,LTL,2025-08-11,2025-08-12,2025-08-12,753.0,901.52,Delivered,
40037,4,5,LTL,2026-02-24,2026-02-25,2026-02-25,3916.5,470.62,Delivered,
40038,6,6,LTL,2025-10-09,2025-10-10,2025-10-10,3058.6,1384.11,Delivered,
40039,5,8,LTL,2026-03-27,2026-03-28,2026-03-27,873.6,1950.27,Delivered,
40040,7,8,LTL,2025-09-04,2025-09-05,2025-09-05,4675.9,1645.07,Delivered,
40041,4,7,LTL,2025-11-25,2025-11-26,2025-11-26,446.9,1137.61,Delivered,
40042,12,2,Air,2024-08-05,2024-08-09,2024-08-07,1198.4,8882.51,Delivered,
40043,14,2,Air,2024-12-09,2024-12-14,2024-12-20,713.6,6589.5,Delivered,Customs Hold
40044,8,5,FTL,2025-01-23,2025-01-30,2025-02-03,26033.8,3937.49,Delivered,Mechanical Issue
40045,8,6,LTL,2024-09-06,2024-09-13,2024-09-13,3995.5,330.58,Delivered,
40046,8,4,LTL,2024-12-12,2024-12-19,2024-12-18,4638.9,1765.85,Delivered,
40047,1,7,LTL,2024-09-24,2024-09-25,2024-09-25,2888.4,593.44,Delivered,
40048,6,5,FTL,2025-01-15,2025-01-16,2025-01-15,30565.4,3297.58,Delivered,
40049,5,7,LTL,2025-10-21,2025-10-22,2025-10-22,3047.7,728.32,Delivered,
40050,9,4,Parcel,2025-03-30,2025-04-02,2025-04-02,11.1,96.22,Delivered,
40051,7,8,LTL,2025-04-04,2025-04-05,2025-04-05,1058.6,1479.16,Delivered,
40052,3,5,FTL,2024-11-28,2024-12-02,2024-12-01,9788.9,3116.35,Delivered,
40053,10,2,Air,2025-01-03,2025-01-07,2025-01-07,86.6,2468.59,Delivered,
40054,7,4,LTL,2026-05-15,2026-05-16,2026-05-15,1203.8,1352.62,Delivered,
40055,2,7,LTL,2025-10-25,2025-10-26,2025-10-26,4297.8,1481.21,Delivered,
40056,6,8,LTL,2025-10-02,2025-10-03,2025-10-03,2149.9,980.4,Delivered,
40057,6,6,Parcel,2024-11-02,2024-11-03,2024-11-03,32.4,52.3,Delivered,
40058,1,5,LTL,2025-12-10,2025-12-11,2025-12-11,1074.0,761.34,Delivered,
40059,11,2,Air,2024-10-30,2024-11-05,2024-11-05,450.9,7872.45,Delivered,
40060,8,7,LTL,2025-04-12,2025-04-19,2025-04-23,3634.6,1940.5,Delivered,Capacity Constraint
40061,4,5,LTL,2026-06-30,2026-07-01,2026-06-30,3807.1,1081.6,Delivered,
40062,6,6,Parcel,2025-10-23,2025-10-24,2025-10-23,57.6,77.75,Delivered,
40063,2,1,FTL,2025-08-16,2025-08-17,2025-08-17,37920.0,3869.21,Delivered,
40064,6,6,LTL,2025-11-11,2025-11-12,2025-11-12,661.1,1738.59,Delivered,
40065,4,4,LTL,2026-03-09,2026-03-10,2026-03-09,1051.3,1252.62,Delivered,
40066,1,6,LTL,2026-01-14,2026-01-15,2026-01-14,1526.2,1028.28,Delivered,
40067,7,6,LTL,2024-12-10,2024-12-11,2024-12-10,4987.8,581.36,Delivered,
40068,9,6,FTL,2024-07-28,2024-07-31,2024-07-31,12651.7,3046.06,Delivered,
40069,3,6,FTL,2025-02-08,2025-02-12,2025-02-11,17051.5,3354.36,Delivered,
40070,3,5,FTL,2025-01-04,2025-01-08,2025-01-06,18640.4,3648.33,Delivered,
40071,4,5,FTL,2024-11-28,2024-11-29,2024-11-28,28515.8,3956.26,Delivered,
40072,6,5,FTL,2026-05-20,2026-05-21,2026-05-21,9697.0,2812.8,Delivered,
40073,4,6,LTL,2026-04-09,2026-04-10,2026-04-09,4556.0,745.27,Delivered,
40074,1,6,FTL,2025-02-07,2025-02-08,2025-02-07,40742.6,2359.63,Delivered,
40075,2,6,FTL,2025-10-27,2025-10-28,2025-10-27,21740.5,4251.23,Delivered,
40076,8,8,LTL,2025-04-22,2025-04-29,2025-04-29,2020.6,1179.8,Delivered,
40077,2,6,Parcel,2026-04-29,2026-04-30,,16.7,130.39,Cancelled,
40078,6,5,LTL,2025-06-03,2025-06-04,2025-06-04,2408.5,1730.14,Delivered,
40079,5,6,LTL,2025-01-01,2025-01-02,2025-01-01,4522.3,687.42,Delivered,
40080,7,4,LTL,2024-12-21,2024-12-22,2024-12-21,2132.7,1395.84,Delivered,
40081,6,1,LTL,2025-08-20,2025-08-21,2025-08-20,894.3,1549.32,Delivered,
40082,13,3,Air,2024-12-31,2025-01-04,2025-01-02,1563.4,5721.62,Delivered,
40083,6,5,LTL,2025-09-11,2025-09-12,2025-09-11,3859.7,1449.63,Delivered,
40084,9,7,LTL,2026-04-23,2026-04-26,2026-04-24,1697.2,1682.45,Delivered,
40085,9,6,LTL,2025-04-23,2025-04-26,2025-04-29,4258.2,1657.99,Delivered,Capacity Constraint
40086,7,4,FTL,2024-12-04,2024-12-05,2024-12-05,31612.0,1393.65,Delivered,
40087,7,6,FTL,2026-07-07,2026-07-08,2026-07-07,23054.6,2543.55,Delivered,
40088,9,7,Parcel,2025-07-18,2025-07-21,2025-07-23,52.3,134.96,Delivered,Warehouse Delay
40089,9,7,FTL,2024-09-16,2024-09-19,2024-09-24,10723.1,4484.15,Delivered,Warehouse Delay
40090,2,8,LTL,2024-08-06,2024-08-07,2024-08-06,4447.0,646.92,Delivered,
40091,9,1,LTL,2024-10-02,2024-10-05,2024-10-04,4156.2,823.53,Delivered,
40092,2,4,FTL,2025-10-16,2025-10-17,2025-10-19,28106.2,3466.98,Delivered,Weather
40093,15,3,Air,2026-01-25,2026-02-01,2026-01-31,1389.8,5937.74,Delivered,
40094,9,7,Parcel,2025-05-02,2025-05-05,2025-05-04,36.5,149.24,Delivered,
40095,10,3,Air,2024-08-22,2024-08-26,2024-08-25,420.2,3626.85,Delivered,
40096,3,7,FTL,2025-04-13,2025-04-17,2025-04-15,17449.8,3794.95,Delivered,
40097,8,8,LTL,2026-07-06,2026-07-13,,3692.2,489.8,In Transit,
40098,6,1,LTL,2025-07-27,2025-07-28,2025-07-27,2040.3,1389.52,Delivered,
40099,12,2,Air,2026-06-14,2026-06-18,2026-06-16,250.8,6029.18,Delivered,
40100,2,8,LTL,2026-03-26,2026-03-27,2026-03-26,1810.7,639.51,Delivered,
40101,1,7,Parcel,2024-07-20,2024-07-21,2024-07-21,33.9,62.29,Delivered,
40102,6,7,LTL,2025-12-05,2025-12-06,2025-12-05,3293.0,1772.49,Delivered,
40103,2,4,FTL,2025-11-09,2025-11-10,2025-11-09,22097.0,1773.72,Delivered,
40104,11,3,Air,2025-07-30,2025-08-05,2025-08-03,1516.9,756.62,Delivered,
40105,6,7,Parcel,2025-01-03,2025-01-04,2025-01-04,71.6,47.98,Delivered,
40106,1,7,LTL,2025-10-23,2025-10-24,2025-10-25,4701.0,1465.22,Delivered,Warehouse Delay
40107,2,6,LTL,2024-10-03,2024-10-04,2024-10-04,879.1,1247.7,Delivered,
40108,7,6,LTL,2025-05-13,2025-05-14,2025-05-13,3847.7,597.89,Delivered,
40109,4,4,LTL,2025-05-29,2025-05-30,2025-05-29,3075.6,1371.36,Delivered,
40110,13,2,Air,2026-05-30,2026-06-03,2026-06-02,398.4,6754.17,Delivered,
40111,2,5,LTL,2026-04-09,2026-04-10,2026-04-10,3084.2,1295.46,Delivered,
40112,6,4,LTL,2024-12-31,2025-01-01,2025-01-01,2868.8,752.64,Delivered,
40113,3,6,FTL,2025-07-10,2025-07-14,2025-07-13,23261.2,1635.14,Delivered,
40114,2,8,LTL,2024-11-07,2024-11-08,2024-11-08,1921.7,677.92,Delivered,
40115,8,6,FTL,2026-04-28,2026-05-05,2026-05-04,34482.1,2118.66,Delivered,
40116,10,3,Air,2026-04-04,2026-04-08,2026-04-06,1688.8,8140.32,Delivered,
40117,7,6,LTL,2025-01-27,2025-01-28,2025-01-28,2004.8,1896.42,Delivered,
40118,15,2,Air,2025-10-22,2025-10-29,2025-10-27,884.4,3739.86,Delivered,
40119,15,3,Air,2025-10-01,2025-10-08,2025-10-07,603.2,1126.37,Delivered,
40120,15,2,Air,2024-10-26,2024-11-02,2024-11-01,313.0,929.23,Delivered,
40121,3,6,LTL,2025-12-31,2026-01-04,2026-01-02,861.9,952.51,Delivered,
40122,7,4,LTL,2025-07-31,2025-08-01,2025-08-03,1887.6,1337.46,Delivered,Capacity Constraint
40123,7,8,FTL,2026-01-17,2026-01-18,2026-01-17,40345.9,3008.93,Delivered,
40124,12,3,Air,2025-07-28,2025-08-01,2025-07-31,1134.2,4443.93,Delivered,
40125,13,3,Air,2024-07-09,2024-07-13,2024-07-11,74.1,1532.05,Delivered,
40126,15,3,Air,2025-02-18,2025-02-25,2025-02-23,1795.7,7411.34,Delivered,
40127,9,7,LTL,2024-07-23,2024-07-26,2024-07-27,4957.5,984.17,Delivered,Mechanical Issue
40128,8,8,FTL,2026-05-08,2026-05-15,2026-05-15,39618.2,1684.42,Delivered,
40129,15,3,Air,2026-04-11,2026-04-18,2026-04-16,1495.3,6121.35,Delivered,
40130,14,2,Air,2026-02-26,2026-03-03,2026-03-02,474.6,1504.77,Delivered,
40131,4,8,FTL,2025-01-31,2025-02-01,2025-01-31,23982.6,1309.47,Delivered,
40132,10,3,Air,2024-08-17,2024-08-21,2024-08-20,629.4,6809.4,Delivered,
40133,13,3,Air,2026-04-11,2026-04-15,2026-04-15,1261.1,6530.08,Delivered,
40134,4,4,LTL,2026-05-24,2026-05-25,2026-05-28,4679.3,1988.65,Delivered,Weather
40135,7,7,LTL,2024-09-11,2024-09-12,2024-09-12,4598.0,1266.25,Delivered,
40136,8,5,LTL,2025-06-26,2025-07-03,2025-07-01,875.6,307.33,Delivered,
40137,14,3,Air,2024-08-27,2024-09-01,2024-08-31,1250.6,3976.84,Delivered,
40138,16,2,Air,2025-12-30,2026-01-05,2026-01-06,1527.5,6038.92,Delivered,Customs Hold
40139,4,5,LTL,2026-01-03,2026-01-04,2026-01-04,822.5,577.72,Delivered,
40140,6,7,LTL,2024-10-16,2024-10-17,2024-10-17,2172.3,321.65,Delivered,
40141,1,5,LTL,2025-06-17,2025-06-18,2025-06-18,2240.5,1587.87,Delivered,
40142,2,5,FTL,2025-08-09,2025-08-10,2025-08-09,33303.2,3126.63,Delivered,
40143,3,6,LTL,2025-01-01,2025-01-05,2025-01-09,1666.8,612.54,Delivered,Weather
40144,4,7,LTL,2026-04-06,2026-04-07,2026-04-09,1536.9,1033.13,Delivered,Mechanical Issue
40145,9,5,Parcel,2025-05-03,2025-05-06,2025-05-05,69.6,135.61,Delivered,
40146,1,7,LTL,2024-11-29,2024-11-30,2024-11-29,2488.3,358.0,Delivered,
40147,1,8,LTL,2025-07-31,2025-08-01,2025-07-31,3372.7,1768.59,Delivered,
40148,5,5,LTL,2025-12-11,2025-12-12,2025-12-11,4116.2,1249.19,Delivered,
40149,7,1,FTL,2024-11-22,2024-11-23,2024-11-22,35463.9,2259.17,Delivered,
40150,8,4,FTL,2025-02-04,2025-02-11,2025-02-11,11977.1,2514.63,Delivered,
40151,1,1,LTL,2026-07-05,2026-07-06,2026-07-05,4488.2,1661.97,Delivered,
40152,16,2,Air,2025-10-26,2025-11-01,2025-10-30,1228.2,7201.93,Delivered,
40153,1,4,LTL,2025-05-16,2025-05-17,2025-05-17,2119.9,572.54,Delivered,
40154,6,7,LTL,2025-07-23,2025-07-24,2025-07-29,3501.3,773.79,Delivered,Capacity Constraint
40155,6,4,LTL,2024-10-10,2024-10-11,2024-10-15,997.9,1486.28,Delivered,Weather
40156,8,4,Parcel,2024-12-07,2024-12-14,2024-12-14,55.6,67.82,Delivered,
40157,7,6,LTL,2025-03-04,2025-03-05,2025-03-04,4287.5,1155.33,Delivered,
40158,6,7,FTL,2025-09-14,2025-09-15,2025-09-15,28574.0,2793.79,Delivered,
40159,16,2,Air,2024-12-10,2024-12-16,2024-12-14,1219.0,5728.64,Delivered,
40160,7,5,Parcel,2024-12-04,2024-12-05,2024-12-04,10.5,49.96,Delivered,
40161,5,1,LTL,2024-08-29,2024-08-30,2024-08-29,1559.5,875.46,Delivered,
40162,3,8,LTL,2025-10-19,2025-10-23,2025-10-21,3071.5,985.57,Delivered,
40163,8,4,LTL,2024-12-10,2024-12-17,2024-12-16,1739.3,1321.05,Delivered,
40164,15,3,Air,2026-04-25,2026-05-02,2026-05-05,1436.8,3018.26,Delivered,Customs Hold
40165,13,2,Air,2026-03-25,2026-03-29,2026-03-27,205.9,6881.08,Delivered,
40166,7,8,LTL,2024-08-29,2024-08-30,2024-08-29,1543.4,1789.88,Delivered,
40167,2,6,LTL,2024-12-15,2024-12-16,2024-12-16,1801.9,1590.21,Delivered,
40168,16,2,Air,2025-11-01,2025-11-07,2025-11-06,1510.6,1126.22,Delivered,
40169,6,7,Parcel,2024-12-01,2024-12-02,2024-12-02,5.4,138.36,Delivered,
40170,5,1,LTL,2024-10-19,2024-10-20,2024-10-20,1383.9,1709.7,Delivered,
40171,8,6,LTL,2026-05-14,2026-05-21,2026-05-19,288.1,1226.53,Delivered,
40172,1,1,Parcel,2025-08-30,2025-08-31,2025-08-31,9.1,117.6,Delivered,
40173,1,5,LTL,2025-06-15,2025-06-16,2025-06-15,3520.7,1604.57,Delivered,
40174,8,5,LTL,2026-01-22,2026-01-29,2026-01-29,782.5,1403.75,Delivered,
40175,7,7,LTL,2026-01-31,2026-02-01,2026-02-04,882.0,1943.91,Delivered,Capacity Constraint
40176,8,5,FTL,2024-11-15,2024-11-22,2024-11-20,41370.4,3148.77,Delivered,
40177,7,7,LTL,2024-09-21,2024-09-22,2024-09-22,1605.2,859.94,Delivered,
40178,7,1,FTL,2025-05-10,2025-05-11,2025-05-10,28238.3,2347.94,Delivered,
40179,9,6,Parcel,2025-05-03,2025-05-06,2025-05-06,16.0,45.98,Delivered,
40180,6,6,LTL,2025-06-10,2025-06-11,2025-06-11,3572.2,945.81,Delivered,
40181,10,2,Air,2025-12-10,2025-12-14,2025-12-12,653.7,4095.99,Delivered,
40182,2,6,Parcel,2025-11-04,2025-11-05,2025-11-08,33.4,41.39,Delivered,Mechanical Issue
40183,1,5,Parcel,2026-06-25,2026-06-26,2026-06-25,52.7,33.48,Delivered,
40184,6,1,LTL,2024-09-22,2024-09-23,2024-09-23,506.4,1195.15,Delivered,
40185,3,1,LTL,2025-04-24,2025-04-28,2025-04-27,3056.0,822.9,Delivered,
40186,15,3,Air,2025-03-05,2025-03-12,2025-03-11,466.9,6280.08,Delivered,
40187,7,5,FTL,2026-03-27,2026-03-28,2026-03-27,12185.7,4280.8,Delivered,
40188,5,8,Parcel,2024-12-22,2024-12-23,2024-12-23,64.3,75.58,Delivered,
40189,7,4,Parcel,2024-11-15,2024-11-16,2024-11-15,54.9,86.86,Delivered,
40190,7,1,LTL,2025-05-25,2025-05-26,2025-05-30,2476.4,1612.39,Delivered,Capacity Constraint
40191,9,1,LTL,2025-05-02,2025-05-05,2025-05-05,1410.7,310.16,Delivered,
40192,1,5,LTL,2025-01-16,2025-01-17,2025-01-16,1399.0,622.41,Delivered,
40193,3,8,LTL,2024-12-23,2024-12-27,2024-12-25,2936.2,1763.04,Delivered,
40194,14,3,Air,2026-05-03,2026-05-08,2026-05-07,518.1,1892.86,Delivered,
40195,5,7,FTL,2025-05-20,2025-05-21,2025-05-21,16781.8,2649.68,Delivered,
40196,3,7,Parcel,2026-03-27,2026-03-31,2026-03-29,50.6,30.84,Delivered,
40197,2,8,Parcel,2025-08-10,2025-08-11,2025-08-10,9.6,102.11,Delivered,
40198,4,4,Parcel,2024-08-10,2024-08-11,2024-08-11,39.6,33.83,Delivered,
40199,9,6,LTL,2026-07-09,2026-07-12,,1775.1,442.98,In Transit,
40200,11,3,Air,2026-03-03,2026-03-09,2026-03-08,297.3,3806.53,Delivered,
40201,7,7,FTL,2026-06-12,2026-06-13,,14859.1,4366.01,Cancelled,
40202,10,3,Air,2026-05-06,2026-05-10,2026-05-09,1970.1,2314.27,Delivered,
40203,16,2,Air,2026-03-15,2026-03-21,2026-03-21,1831.5,4688.49,Delivered,
40204,5,8,LTL,2024-10-31,2024-11-01,2024-10-31,4810.4,1923.4,Delivered,
40205,1,6,LTL,2025-06-26,2025-06-27,2025-06-26,2902.9,389.01,Delivered,
40206,2,7,FTL,2024-11-30,2024-12-01,2024-11-30,12599.2,2149.29,Delivered,
40207,9,5,FTL,2025-04-24,2025-04-27,2025-04-26,12497.4,2836.99,Delivered,
40208,6,5,LTL,2024-08-17,2024-08-18,2024-08-17,2283.1,1014.42,Delivered,
40209,10,2,Air,2025-04-11,2025-04-15,2025-04-13,1693.4,2583.44,Delivered,
40210,16,3,Air,2026-06-26,2026-07-02,2026-07-01,1771.9,7261.44,Delivered,
40211,3,7,LTL,2025-01-01,2025-01-05,2025-01-10,3034.4,477.63,Delivered,Capacity Constraint
40212,8,8,LTL,2026-01-21,2026-01-28,2026-02-02,2823.0,772.25,Delivered,Mechanical Issue
40213,5,7,FTL,2025-05-30,2025-05-31,,38217.3,3885.76,Cancelled,
40214,4,8,FTL,2025-05-03,2025-05-04,2025-05-04,15056.3,3917.7,Delivered,
40215,2,8,LTL,2026-06-02,2026-06-03,2026-06-03,3054.8,1818.42,Delivered,
40216,8,1,LTL,2026-07-05,2026-07-12,,1619.5,1885.74,In Transit,
40217,3,1,LTL,2025-08-15,2025-08-19,2025-08-19,597.9,1464.6,Delivered,
40218,2,4,FTL,2025-12-04,2025-12-05,2025-12-05,41053.7,3520.56,Delivered,
40219,10,2,Air,2024-10-27,2024-10-31,2024-10-31,715.0,6578.63,Delivered,
40220,11,2,Air,2025-01-26,2025-02-01,2025-01-30,1822.5,1594.53,Delivered,
40221,6,5,FTL,2026-06-12,2026-06-13,2026-06-13,41066.1,2157.41,Delivered,
40222,8,5,LTL,2025-09-06,2025-09-13,2025-09-11,2007.9,820.11,Delivered,
40223,15,3,Air,2025-08-02,2025-08-09,2025-08-08,813.3,6900.83,Delivered,
40224,7,7,FTL,2025-12-22,2025-12-23,2025-12-27,21151.9,4115.86,Delivered,Driver Shortage
40225,2,6,FTL,2024-08-16,2024-08-17,2024-08-17,9723.6,2991.91,Delivered,
40226,5,4,LTL,2025-09-10,2025-09-11,2025-09-10,2238.8,905.76,Delivered,
40227,15,3,Air,2025-07-12,2025-07-19,2025-07-18,1023.6,8377.71,Delivered,
40228,12,3,Air,2026-03-19,2026-03-23,2026-03-23,244.8,8711.53,Delivered,
40229,1,6,LTL,2024-10-28,2024-10-29,2024-10-29,1853.5,1637.72,Delivered,
40230,4,1,LTL,2026-06-05,2026-06-06,2026-06-05,2219.9,899.93,Delivered,
40231,3,7,LTL,2024-09-06,2024-09-10,2024-09-10,2493.5,803.38,Delivered,
40232,3,6,Parcel,2024-11-12,2024-11-16,2024-11-15,74.9,27.12,Delivered,
40233,12,2,Air,2025-09-20,2025-09-24,2025-09-22,932.6,8645.82,Delivered,
40234,4,5,LTL,2025-11-05,2025-11-06,2025-11-05,1257.8,1393.08,Delivered,
40235,9,7,FTL,2024-12-14,2024-12-17,2024-12-19,26178.9,1300.31,Delivered,Capacity Constraint
40236,3,7,LTL,2024-10-10,2024-10-14,2024-10-13,3908.3,1384.55,Delivered,
40237,12,3,Air,2026-04-20,2026-04-24,2026-04-24,313.1,2818.26,Delivered,
40238,3,6,FTL,2024-12-20,2024-12-24,2024-12-23,25905.3,2186.12,Delivered,
40239,9,6,FTL,2025-09-19,2025-09-22,2025-09-21,24732.9,4459.93,Delivered,
40240,6,8,Parcel,2025-10-10,2025-10-11,2025-10-11,45.1,109.6,Delivered,
40241,2,6,LTL,2025-04-30,2025-05-01,2025-05-03,3656.8,726.66,Delivered,Driver Shortage
40242,15,3,Air,2025-09-10,2025-09-17,2025-09-16,1827.1,5603.95,Delivered,
40243,7,1,LTL,2025-07-25,2025-07-26,2025-07-25,4260.8,561.06,Delivered,
40244,8,6,LTL,2026-05-13,2026-05-20,2026-05-18,2324.7,916.38,Delivered,
40245,4,7,Parcel,2024-11-24,2024-11-25,2024-11-25,56.6,149.18,Delivered,
40246,1,7,FTL,2025-12-02,2025-12-03,2025-12-02,12390.6,3201.03,Delivered,
40247,8,5,LTL,2024-12-16,2024-12-23,2024-12-22,2246.4,715.98,Delivered,
40248,1,8,LTL,2025-04-22,2025-04-23,2025-04-22,2856.0,1517.93,Delivered,
40249,11,3,Air,2025-11-03,2025-11-09,2025-11-07,1859.8,2283.19,Delivered,
40250,1,6,LTL,2025-01-28,2025-01-29,2025-01-28,3054.2,1417.25,Delivered,
40251,2,7,Parcel,2025-02-09,2025-02-10,2025-02-10,60.9,36.29,Delivered,
40252,12,3,Air,2025-12-24,2025-12-28,2025-12-28,1652.3,5286.57,Delivered,
40253,14,2,Air,2024-08-31,2024-09-05,2024-09-05,509.4,4411.43,Delivered,
40254,5,7,Parcel,2025-06-02,2025-06-03,2025-06-03,6.9,43.94,Delivered,
40255,1,6,LTL,2026-07-08,2026-07-09,2026-07-08,1545.5,1659.07,Delivered,
40256,9,6,LTL,2026-07-06,2026-07-09,2026-07-09,3590.5,420.02,Delivered,
40257,7,1,Parcel,2024-08-31,2024-09-01,2024-08-31,66.5,93.08,Delivered,
40258,9,6,LTL,2024-11-30,2024-12-03,2024-12-01,1925.5,410.16,Delivered,
40259,4,7,Parcel,2025-01-01,2025-01-02,2025-01-02,58.3,103.4,Delivered,
40260,6,7,LTL,2026-05-12,2026-05-13,2026-05-17,2202.4,1192.71,Delivered,Capacity Constraint
40261,1,4,LTL,2026-04-13,2026-04-14,2026-04-14,3486.0,606.69,Delivered,
40262,8,5,FTL,2026-04-12,2026-04-19,2026-04-17,26604.2,3864.02,Delivered,
40263,9,7,FTL,2025-04-03,2025-04-06,2025-04-06,36809.4,3787.66,Delivered,
40264,8,6,LTL,2024-10-28,2024-11-04,2024-11-04,2158.5,1515.96,Delivered,
40265,1,7,LTL,2026-03-01,2026-03-02,2026-03-02,2535.0,549.45,Delivered,
40266,3,8,LTL,2025-11-24,2025-11-28,2025-11-30,4666.1,1042.32,Delivered,Customer Delay
40267,8,1,LTL,2025-10-04,2025-10-11,2025-10-09,1807.5,1168.76,Delivered,
40268,12,2,Air,2026-06-28,2026-07-02,2026-07-02,709.7,6369.39,Delivered,
40269,9,8,Parcel,2025-10-27,2025-10-30,2025-10-29,20.3,65.36,Delivered,
40270,5,1,LTL,2024-07-16,2024-07-17,2024-07-17,3307.6,1192.16,Delivered,
40271,6,8,FTL,2026-02-11,2026-02-12,2026-02-12,16955.9,2226.89,Delivered,
40272,15,3,Air,2025-01-28,2025-02-04,2025-02-02,174.6,8045.99,Delivered,
40273,2,4,Parcel,2025-10-30,2025-10-31,2025-10-30,73.4,124.16,Delivered,
40274,2,8,FTL,2026-05-17,2026-05-18,2026-05-17,35850.6,3762.27,Delivered,
40275,12,3,Air,2024-10-21,2024-10-25,2024-10-23,1254.9,5070.68,Delivered,
40276,16,3,Air,2024-10-06,2024-10-12,2024-10-17,746.5,4855.21,Delivered,Capacity Constraint
40277,1,4,FTL,2024-09-29,2024-09-30,2024-09-30,22390.8,4025.54,Delivered,
40278,5,4,FTL,2025-08-13,2025-08-14,2025-08-14,24312.0,3702.66,Delivered,
40279,4,6,LTL,2025-01-09,2025-01-10,2025-01-09,3605.5,572.28,Delivered,
40280,3,7,LTL,2025-09-28,2025-10-02,2025-10-02,2907.9,1563.17,Delivered,
40281,4,5,Parcel,2025-12-03,2025-12-04,2025-12-04,51.3,105.32,Delivered,
40282,4,6,Parcel,2024-11-24,2024-11-25,2024-11-25,56.5,33.62,Delivered,
40283,7,6,LTL,2025-10-21,2025-10-22,2025-10-21,2466.2,652.42,Delivered,
40284,8,6,LTL,2024-12-31,2025-01-07,2025-01-05,831.1,1563.12,Delivered,
40285,1,8,LTL,2025-06-28,2025-06-29,2025-06-28,3768.4,1869.69,Delivered,
40286,1,1,Parcel,2026-04-25,2026-04-26,2026-04-26,67.8,34.62,Delivered,
40287,8,5,Parcel,2026-03-12,2026-03-19,2026-03-18,11.9,123.47,Delivered,
40288,5,1,FTL,2024-09-17,2024-09-18,2024-09-17,16674.9,3056.09,Delivered,
40289,1,4,LTL,2025-05-03,2025-05-04,2025-05-04,3665.1,513.14,Delivered,
